Donor,Amount,,R,G,B
Sheldon Adelson,53.7,,128,0,0
Harold Simmons,26.9,,178,34,34
Bob Perry,21.5,,255,0,0
Joe Ricketts,12.9,,255,50,0
Fred Eychaner,12,,255,100,0
National Education Assn.,9,,255,150,0
United Auto Workers,8.6,,255,200,0
Republican Governors Assn.,8.3,,255,255,50
James H. Simons,7.6,,180,240,100
AFL-CIO,6.4,,0,255,100
